Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
0,080406090700090004009713800000040000090102060400000002000000000064000950900508003,3.4608,28934,28880,0,30.2323,6010,9177,0,2.0289,481,466,0
1,900200000010070002002000503020058030000103000080960040708000400100090020000004005,1.3314,14104,14049,0,31.4331,6575,9313,0,1.7341,434,411,0
2,000105000019000580005000400000040000000000000708000902900614007600308005030000010,134.6311,1138818,1138761,0,80.8140,16057,26478,0,0.1840,58,2,0
3,005460000000013500010009002046000008780020056900000310500100060007630000000075800,0.7162,7789,7737,0,12.4310,2645,3794,0,0.3586,102,54,0
4,037000508009500010460700000000800130000060000072005000000008065050007200201000970,0.0756,673,619,0,1.1645,255,311,0,0.2836,93,42,0
5,605000001010000370072001504004050000000906000000030700708400190023000050100000803,1.3572,12024,11971,0,11.4552,2373,3450,0,0.1768,55,3,0
6,250040080008501700000008001002006000010020040000900100800300000005607200030050097,0.8272,6979,6925,0,4.3889,930,1399,0,0.2883,87,36,0
7,000100006082059000060000390000007400600418003007300000095000060000590830700006000,2.5890,23383,23329,0,16.2961,3516,5139,0,1.1458,292,259,0
8,000408000008730400030015070403000085092000760680000103020840010007021600000607000,0.2219,2427,2378,0,3.8860,885,1116,0,0.2217,70,22,0
9,006000007002147090003900150000800010000010000090003000071008500050421700200000800,3.4407,28009,27955,0,27.8056,6228,8989,0,3.0034,798,793,0
10,016403000000008004000000086430800009009301400600009023590000000100600000000907350,1.0192,10352,10299,0,10.4144,2103,3280,0,0.1641,53,0,0
11,000000300063020910180400020000050700090104060004060000010005092036040570009000000,0.2508,3170,3117,0,2.6201,581,789,0,0.6644,175,128,0
12,950000012000070000000852000080503090005401700003000500030607080200000001060000040,0.8955,8547,8492,0,10.1293,2072,2932,0,0.3911,109,57,0
13,000000180070300050020085009000100000590204018000006000900620040050009030081000000,2.7149,24074,24019,0,17.5300,3778,5402,0,0.6157,162,113,0
14,000809000900060005060020090043000710000106000500080009004000900309000507720050081,1.5325,15685,15632,0,22.0365,4837,6929,0,1.2497,351,319,0
15,900800000040020050006007001030005100054090280002400090500600800060050070000008006,1.0726,9618,9564,0,15.2066,3333,4823,0,3.9683,964,997,0
16,090680000200031000800000007900500080003060900060004003700000004000840009000025010,7.1110,60241,60185,0,61.6617,12537,17389,0,0.9122,209,164,0
17,040000000002608009006050810050010030009302700020060090031020900200506100000000080,8.1865,74369,74316,0,107.3546,23213,32328,0,0.5313,131,85,0
18,200935001000000000050701060800000004003412700001000900790000043002000100000308000,0.2750,2655,2600,0,1.8358,391,497,0,0.4923,129,78,0
19,005090600000608100890000002050060030600205001040080070700000015009506000002010400,1.7118,15916,15863,0,24.1247,5284,7529,0,2.0530,547,537,0
20,070035006000706030080009000012000053004000100930000760000900070090104000800350010,0.3267,2862,2809,0,4.3088,959,1215,0,0.7068,173,130,0
21,290514000000790000040000700400000010078020940010000007006000050000068000000475063,1.6187,14835,14781,0,5.0257,1018,1463,0,1.4386,370,345,0
22,007800200040020080600005003002403009090060030100902700400200001070090060009004300,0.1256,1042,990,0,1.5814,390,440,0,1.5269,368,335,0
23,170400000090560210306001000050008000630000028000200050000600502013045060000002041,0.9385,7404,7353,0,11.0380,2617,3587,0,0.5005,141,98,0
24,400305008050090030310000054100000009005927600706000805000080000000704000001000500,0.2991,2105,2051,0,1.8009,388,505,0,1.0356,246,212,0
25,045000001600000300000400592020080004000604000300050080457009000001000003800000950,0.7975,7263,7208,0,10.3925,2266,3087,0,0.1998,66,12,0
26,600302005070000090504090203000020000900000004080561030001080900060000040000706000,3.1780,29129,29074,0,6.5541,1296,1928,0,0.4832,127,78,0
27,900000001102305407800000003008714600070000030000080000000000000006501300040608020,0.2020,1633,1578,0,2.6479,560,765,0,0.5667,138,91,0
28,300060002000010000208000103620000089000207000003000200800105007060879030050000040,0.4089,3823,3769,0,1.4488,311,400,0,0.4455,133,90,0
29,000040000800070005020809040060000020090000010500010006003000800000401000180060094,4.2810,36376,36319,0,38.8806,7917,12301,0,4.9999,1188,1216,0
30,020000080008000200050801090070605010500000007000904000400000009092080470800090006,4.1566,42255,42200,0,71.9350,14773,21244,0,1.0251,258,231,0
31,070000100008601004600030090060702010005000200020305040090080001100209600006000070,0.5252,4690,4637,0,5.6204,1230,1671,0,1.0815,283,244,0
32,070306090000000000209407605000000000600513008100000009060208040480000073000050000,0.4618,4190,4135,0,1.8121,367,507,0,0.1908,55,0,0
33,400030102003008000100900050020000400300010009008000060060001005000700900905060001,1.9662,18185,18129,0,26.0385,5124,7893,0,0.3372,86,34,0
34,500000003010908070000104000270000096800000004004507200350060047000080000002000900,0.4449,3923,3868,0,3.0152,625,837,0,1.0699,254,213,0
35,000310200000005900800090005604750000020000030000034602500060007007900000001047000,0.5709,6113,6058,0,11.5835,2299,3607,0,0.3426,97,44,0
36,000400000070009010091500300008045006000301000500860900009003840030100060000002000,3.2542,28555,28500,0,15.0292,3076,4328,0,1.2647,319,287,0
37,700004000003800000050700083600000108009060500107000009980006010000008600000100005,2.2119,20025,19969,0,33.6867,7053,10178,0,1.7626,431,432,0
38,003000000100509080540003010604020030070000040010080207080300026050102003000000100,0.4008,4714,4661,0,4.4825,956,1296,0,0.6437,178,137,0
39,096700000070410000000600300602041007150000038700890102005003000000084050000007240,0.4281,4387,4336,0,5.9201,1321,1829,0,0.2733,85,37,0
