Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
0,810009005657000049040001000000008010702010908060200000000300070470000893300900026,0.0127,91,41,0,0.2093,54,14,0,0.1659,50,0,0
1,050003140730001065200705000169000500000000000004000319000507002490300051075200030,0.0210,168,119,0,0.2132,61,24,0,0.1629,49,0,0
2,640200007005007004003500910060050401000906000507010060081005700200700100900003058,0.0505,386,337,0,0.4171,102,86,0,0.1592,49,0,0
3,036020510000301000005000800200060003100245007008000900000709000500000004800000001,0.0237,173,117,0,0.3152,72,38,0,0.2070,56,0,0
4,006000500190080073000306000080060010000070000300000007702000906003000200600408005,7.0141,59680,59624,0,43.8862,8338,13880,0,0.9393,226,206,0
5,080031002900000000060940300000000610702000804094000000006085090000000008400760030,0.1640,1455,1400,0,2.3263,504,625,0,0.2410,67,14,0
6,390000002000290508026403700002050810010809060064020900007901320109072000200000079,0.0226,264,219,0,0.2328,64,42,0,0.1406,45,0,0
7,002180650000006040400003020300000804000010000601000002030200005080600000014058700,0.0286,233,179,0,0.3137,77,42,0,0.1858,54,0,0
8,736004005000020703020700004400070300080103040009040001800005020504060000200400519,0.0243,241,192,0,0.3927,101,79,0,0.1436,49,0,0
9,145030000039080000002000050300008004700305009200400005060000700000020510000010348,0.8621,8571,8518,0,2.4872,515,759,0,0.1781,53,0,0
10,075802630803905002400006058129000083000000000740000526380600009600203804091704360,0.0064,75,34,0,0.1718,52,20,0,0.1198,41,0,0
11,186400000072800504300000060097180000000000000000069840050000006409008350000005187,0.5817,4911,4860,0,2.9823,665,973,0,0.1832,55,5,0
12,000004670190800230430907000308000950000000000014000706000603025072009061083500000,0.0137,137,88,0,0.1963,54,14,0,0.1622,49,0,0
13,865400000004000005009002070000006803681000594302500000070600300900000700000007658,0.2084,2122,2071,0,1.0322,244,300,0,0.1724,51,0,0
14,000000500024603090308000410030080050000357000060020040083000905070905120001000000,0.1081,1092,1040,0,1.3069,293,358,0,0.1714,52,0,0
15,005008130007009400800300009000900000790601048000005000300002004008700200072100300,2.5900,24499,24446,0,10.9735,2253,3546,0,0.5519,138,92,0
16,000006070100289600084070200710000060069000810050000047006010980008643001070500000,0.0725,689,640,0,0.8596,198,226,0,0.1597,49,0,0
17,070005000405000900002743000000009073500030002840200000000498300004000509000300060,1.7391,16281,16227,0,18.2836,3806,5025,0,0.6823,166,129,0
18,000294000056703240200000001540601032000000000070000090490000085705080103010050020,0.1003,852,802,0,1.1098,277,337,0,0.1720,57,8,0
19,000126070600003000009800100420000807900040003105000062001002600000700004050698000,0.1407,1474,1422,0,1.4533,309,403,0,0.1664,52,0,0
20,004560000070003840020070006090050007502407901400090060200040010018600070000029300,0.0410,422,373,0,0.8065,191,206,0,0.1552,49,0,0
21,010070000092600185080500040000080690900406008067050000070003050531008760000020010,0.0173,211,162,0,0.2654,66,44,0,0.1648,49,0,0
22,007521800042000170008000500810000056060104020204306907020060030000000000000432000,0.0323,287,237,0,0.5837,137,125,0,0.1709,50,0,0
23,970308056050020040000705000700482001039000460100000002390000024080010090400906005,0.0160,174,126,0,0.3947,101,72,0,0.1543,48,0,0
24,104060070500080300020905000000370000037109460000024000000806020005030007040090803,0.3619,3308,3257,0,3.0925,649,978,0,0.1578,51,0,0
25,000027800096018020700300040430701200270080061001204053040006002050940670007830000,0.0164,160,116,0,0.2647,77,47,0,0.1283,44,0,0
26,400080027782005030009020840040536000503208406000194080024050100070900354910040002,0.0161,171,130,0,0.2060,62,30,0,0.1174,41,0,0
27,809400006000300000001007804005000072000050000410000900204100700000006000300002605,0.5036,4279,4223,0,3.5670,742,996,0,0.9789,223,179,0
28,351084009006000004000507061802709500500000002009302107960203000400000600100840793,0.0118,120,75,0,0.1527,46,9,0,0.1407,45,0,0
29,100000500037600010056010709000008090609000805040500000905080460060004970002000001,0.0974,1062,1011,0,1.4978,335,411,0,0.1627,51,0,0
30,501900004000804010060070039207000000019000650000000902320090040040205000900003208,0.0318,340,289,0,0.5819,135,139,0,0.1744,51,0,0
31,000000070265400010007201850006837140000605000058149200072503900030004521080000000,0.0166,250,205,0,0.3458,85,83,0,0.1460,45,0,0
32,006090040070000000000140803800009001002000500500400007203065000000000080060080700,1.9860,17763,17706,0,15.3578,3123,4575,0,0.6038,145,98,0
33,000000208026100000030500041500400080000070000010003005170002030000008760203000000,1.5465,12956,12900,0,3.3426,707,934,0,0.2765,73,18,0
34,000090002000315804308006000800000200900204003007000005000500708503861000600040000,7.6467,69834,69781,0,37.8958,7842,12022,0,0.1669,53,0,0
35,028000570100700609490008001001040090000687000070030400700400016309006002016000740,0.0403,386,338,0,0.8098,196,216,0,0.1416,48,0,0
36,056000120008431500100000007010040080400307009000218000035000970860000041000703000,0.2156,1989,1939,0,0.6623,146,175,0,0.1663,50,0,0
37,000829060100030000009007500508201007290000048600308205002700400000050003040682000,0.1161,1299,1250,0,0.9830,224,260,0,0.1532,49,0,0
38,470605000510030000000000504030084901004050800806170050901000000000040095000301047,0.1068,987,937,0,1.3446,308,379,0,0.2589,77,29,0
39,000002894900080350080000201004760000030000080000028400109000060058090003342600000,0.2652,2260,2209,0,2.3825,539,738,0,0.1538,51,0,0
40,300806007005201800900030002080000040001000600000607000060000020400708003000304000,0.0501,491,435,0,0.7137,149,162,0,0.1975,56,0,0
41,050702030006109400300608002800000009071000340000000000008060100020000080905070204,0.2364,2017,1964,0,1.7867,384,506,0,0.1828,53,0,0
42,584000209090300074700020001000060010005804700070050000900010006860002050102000948,0.0184,166,117,0,0.2826,74,39,0,0.1546,49,0,0
43,300079014470001060008060300890406000105000608000102093007010400080600051630740002,0.0475,501,456,0,0.8086,203,215,0,0.1322,45,0,0
44,409000081800006300053108604035802700000090000006703520608304910002600005590000803,0.0067,88,44,0,0.1548,46,14,0,0.1364,44,0,0
45,095000000000084009000910003060403500042050390001602040200046000300820000000000780,0.1341,1463,1411,0,1.8271,408,501,0,0.1729,55,4,0
46,500708006010000070004901200000102000000000000980000064040070080008000600021000930,10.8131,93556,93500,0,30.3767,5852,9334,0,1.1582,262,235,0
47,105000004069035710040006052034090000010307080000080190580700040097860520600000807,0.0095,108,63,0,0.1973,57,22,0,0.1351,45,0,0
48,000007013920000000000906250190000070000104000050000034078205000000000046530400000,0.5738,5090,5035,0,1.5549,322,435,0,0.1822,55,0,0
49,704060103080003090609001408063104000800020009000607530308400907040800060906030804,0.0082,98,54,0,0.2256,64,35,0,0.1306,44,0,0
50,000000004090006020847003000005000017020040080960000500000800691010600030300000000,0.9305,9572,9516,0,15.2584,3059,4253,0,0.3187,83,29,0
51,005312400008507900000000000400060002500809006800204007040103080100080003000000000,0.1593,1514,1460,0,2.3821,499,642,0,0.2568,71,19,0
52,800005004040060009007001630000000200000204000001000000023600800400030010600700005,2.3852,19613,19556,0,17.9388,3729,5334,0,0.1943,57,0,0
53,000831000201409805006000100652000973000050000089000520500010006000306000300508002,0.0814,730,680,0,0.8215,190,211,0,0.2278,65,18,0
54,510000003032070019000040060000467000083501740000839000040050000650010230300000051,0.0677,631,582,0,0.8264,210,227,0,0.1506,49,0,0
55,610000902070100035200039000001403020006000800020805700000650004860002050402000067,0.1522,1318,1269,0,1.1500,278,345,0,0.2215,63,16,0
56,800020106042600070500000020000574010700802005020169000010000009080005230903040007,0.0121,130,81,0,0.2881,76,41,0,0.1821,55,7,0
57,003601700600953008020000050480000032000306000070080090008000200005278900000000000,0.0507,412,358,0,0.5408,125,119,0,0.3099,76,26,0
58,003809100000000000070000080200000009060905030010702060038000570900000002407000806,5.5462,54379,54324,0,33.1786,6953,10857,0,0.1811,55,0,0
59,004200300000031800539000401090807003070000080200103070906000152001920000002005700,0.0369,396,347,0,0.7254,173,173,0,0.2179,64,19,0
60,029050030000006000040009600004000501700205006306000400007300080000100000030060240,0.4619,4745,4690,0,6.1633,1313,1781,0,0.6531,166,122,0
61,074050100060780049902600305000000950750000031019000000105007603290015080007060510,0.0715,616,571,0,0.5394,136,134,0,0.1361,45,0,0
62,748200900000090700906008030100600094000040000830007005080700403007010000003004679,0.0683,591,541,0,0.4538,113,92,0,0.1711,53,4,0
63,209005176460030080801000903100207000040050090000103007904000802070020014326800709,0.0224,224,180,0,0.1464,47,9,0,0.1330,44,0,0
64,000801500000000032031740000043100000000000000000008670000085960810000000002409000,1.3504,11565,11508,0,3.7387,763,1151,0,0.1919,57,0,0
65,600003041984010060000620090100582600095107280008349007020051000050030416430900005,0.0045,51,10,0,0.1210,41,2,0,0.1190,41,0,0
66,106470003004000100050000086000521008600807009800963000240000070001000300900035601,0.0376,452,403,0,0.8053,184,212,0,0.1857,55,8,0
