Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
0,030061090500400002004000800900030020600502008070080006007000100100007009050610040,0.0081,145,92,0,0.3119,84,48,0,0.4492,125,75,0
1,940070018000000000870000063100020006004050300006107400000502000020000030407090205,0.6879,7485,7432,0,9.8113,2063,3201,0,0.4483,116,70,0
2,790000065000000000000080000000010000250806094076000810130000079000149000800307002,8.0114,79009,78955,0,27.2757,5801,8860,0,0.7014,193,152,0
3,350060041060000020100402006500000008001000700000109000400708009087040210000050000,0.1036,869,815,0,1.2699,286,339,0,0.6036,148,101,0
4,007401000040030680030200004200040103010806020904020006700004060021080040000602900,0.3015,2770,2721,0,4.4662,1018,1396,0,0.6794,178,141,0
5,100706000700300265600080010070200680000000000058007090060070001594002006000605008,0.3268,2870,2819,0,2.3566,529,727,0,0.2178,64,14,0
6,009057040700400200040006008807040060400603007020070304200800010004005003060730400,0.1217,1089,1040,0,1.8032,433,566,0,0.5643,153,110,0
7,043100700000003090008070600200090108000402000409030007004020900010900000006004270,0.1352,1498,1445,0,1.7376,385,480,0,0.1788,53,0,0
8,000000007080910050426000000200036400008000100009520006000000514070053060900000000,0.0525,621,566,0,1.5782,337,399,0,0.5470,137,87,0
9,400007009001503000000249030854000390003000700067000854040378000000102400300400008,0.3056,2618,2569,0,2.0398,487,607,0,0.1571,49,0,0
10,000300000100009300290071000310040900500000008002090073000710046008600001000005000,3.8080,36457,36402,0,43.1542,8833,12313,0,1.3470,314,288,0
11,092000630013000240008000900100507009007030100005020400200801006000000000000205000,2.0661,18087,18032,0,19.2425,3729,5376,0,2.2109,485,468,0
12,300000065200000100074506900008010500000402000006090400007203840003000001640000007,0.3856,3441,3388,0,4.8268,1048,1525,0,0.5503,144,100,0
13,007000900000483000010000030750000096003040800000905000300000004005692100670000029,2.6291,23624,23570,0,22.1265,4942,6935,0,0.8463,228,186,0
14,031050620500000008600000001083104760010000090000090000006000800850010036007000900,0.7403,5451,5397,0,5.7143,1346,1834,0,0.3565,93,42,0
15,020050090680040013000802000002000600590000034003000700000504000730080041050010060,0.1279,1187,1134,0,0.9984,220,257,0,0.4431,109,63,0
16,070000030000302000003764500000000000060109050801020906000090000700608001904030807,6.1779,59232,59179,0,27.6703,5668,9161,0,0.4433,113,71,0
17,506090302020300060400080001000000080205000609040000000700020008010005090804030206,0.0122,127,74,0,0.3193,79,43,0,1.1669,278,240,0
18,800000001036000940400203007002050800003000400000721000960105023100000004000000000,0.7162,7011,6956,0,13.5119,2620,3999,0,0.5693,137,89,0
19,270400060000020580000000700600203100000000000008706004006000000053010000010004038,2.5069,21470,21413,0,24.7387,4837,7403,0,7.9702,1707,1927,0
20,040000050307000409020080010004803600800000003000206000000000000071000230009652100,0.3740,2917,2862,0,2.5097,561,758,0,0.4498,122,73,0
21,010002608090100000608500000100040307050000080809050006000005102000006090203900070,0.2490,2643,2590,0,4.7646,1009,1385,0,0.5149,131,83,0
22,020394060090000030007000800006000300710000082203000506004567200000000000000402000,0.3979,3724,3669,0,2.7668,544,818,0,0.6212,153,108,0
23,540000016000105000801040309702000501400000003380020064100090002000402000000576000,0.1635,1611,1560,0,1.1300,250,313,0,0.2043,59,9,0
24,060000500952000000087500412000058100010000060004710000248001650000000821006000090,1.3449,12611,12560,0,6.1316,1290,1958,0,0.1637,51,0,0
25,601007008040006100000903400070000004060040010300000070008309000003100080500800701,1.4325,12171,12117,0,12.6967,2777,3932,0,3.4014,821,846,0
26,000507000040030080007604100090000010061050890870000063000000000006405200010208030,0.2744,2403,2350,0,3.4114,723,1056,0,0.3433,94,43,0
27,190000045080905010045306970010050060003080400700000002021000680000201000000000000,0.0431,367,314,0,0.6941,151,151,0,0.7560,175,136,0
28,700406005030109070008000100380000092000000000240000067003000700090802040100703006,0.2320,1896,1843,0,2.0710,474,677,0,0.3379,90,40,0
29,406302805700908001000000000600509003000401000010070040052000790300000002040050030,0.0426,380,327,0,0.6734,149,152,0,0.3718,98,51,0
30,400201600009300201030000000090008042001000700270100050000000060908005400006902008,1.0954,8884,8831,0,9.9351,2259,3133,0,2.3124,567,539,0
31,000203000001040200900000005040605080600020004000010000067000310000978000050060040,0.5313,4646,4590,0,4.6000,962,1321,0,0.4856,135,88,0
32,090604020000905000060070080009020400807000206240000015005000800000090000013000650,0.8716,6994,6940,0,3.4785,707,1090,0,0.9102,229,187,0
33,004000030700600000020100807270300640000000000081006072903004080000009005040000300,3.8963,35806,35751,0,21.8819,4399,6564,0,0.9772,235,197,0
34,064005010000000000001208076007080000090603040000090600510304700000000000070900380,1.2726,11889,11834,0,13.9949,3029,4244,0,0.4173,117,65,0
35,500308009000000000100070003000020000040907060070000010013705620000481000004000500,1.6896,15172,15116,0,9.6717,2113,3021,0,0.6380,165,120,0
36,000040072030008600050600100000067040006000200080910000005004030009300010860070000,1.8391,16212,16157,0,10.1894,2072,3084,0,1.0328,247,207,0
37,004008062090000000000106379009061805000000000508430600451602000000000010830900400,0.3440,3026,2975,0,4.2690,965,1298,0,0.5766,149,108,0
38,400800005000120700025090100000000069037060510610000000003010980008059000900008001,0.1235,1196,1144,0,1.5428,333,428,0,0.7254,171,132,0
39,500307060600000000780060002000015080805000901030870000100080043000000009090604008,0.2825,2699,2646,0,3.7889,784,1198,0,0.9075,227,186,0
40,009000100030000040000621000900806005080040070003000400300204009078000510001080200,1.8412,19680,19626,0,33.5276,6970,10399,0,0.6250,171,129,0
41,000003006000000190005070302300801500060000040008406003903050800056000000800300000,0.9235,9693,9638,0,12.8180,2611,3831,0,2.8076,636,645,0
42,005000600010572040040060020000426000704030102000000000460050039800040006003000800,0.4170,3514,3461,0,7.4585,1697,2191,0,0.6749,163,120,0
43,064020090000000750000900004430600000700894003000002068600009000049000000010040270,1.0779,10231,10177,0,9.7809,2003,3042,0,0.5551,149,102,0
44,300508004004720010000010003007000020400000001020000300500080000090036500800107006,4.6298,38104,38049,0,30.0703,6212,9709,0,0.6854,170,123,0
45,800200705046000020300100040000030209000902000109060000060004002070000810503007004,0.2579,2330,2277,0,2.9996,656,842,0,0.2729,75,23,0
46,080060039700005840009040000600002000008050400000100002000090300092300004430070020,1.1941,9985,9931,0,9.2929,2123,2920,0,1.2252,318,284,0
47,082000160000000000050208030098000740006107500100000006000401000023706810400020005,0.9743,9069,9017,0,10.8431,2336,3314,0,0.3029,87,37,0
48,400010002000030000010000080500000003070020060160080045080407010004000600000268000,4.9576,48750,48694,0,83.4276,17731,25230,0,1.1143,342,302,0
49,009000200400908001200000005840207063000000000100563004070000080600304007900070006,0.7562,6852,6799,0,6.6481,1463,2104,0,0.6682,165,121,0
50,000703000007209500000080000090612050700000009180000026070000030009501800408000605,3.0205,29869,29816,0,42.5883,9519,12819,0,0.2256,69,18,0
51,470003000006700350000006010053000020000090000020000170010500000039004700000100089,0.1528,1327,1271,0,1.2982,264,370,0,0.2053,60,5,0
52,096050340000309000007000800072030560000000000600704008004000200060502030005803900,4.1840,35502,35449,0,15.2149,3093,4766,0,0.4093,107,59,0
53,069000850000409000300020009001683200000201000000090000030000080904805603600040005,0.0512,477,424,0,0.9313,220,230,0,0.1730,53,0,0
54,004000700760000038089305460001704300000106000090000040000080000540000027000010000,1.2370,9994,9939,0,7.8762,1501,2341,0,0.8631,193,151,0
55,100006008800300002079000400006000010001962300050000800007000580500009004300400007,0.2593,2405,2351,0,2.1046,472,623,0,0.6852,164,118,0
56,000004930010600050007002480040007600500030008009100020096800500020005060035400000,0.3609,3553,3501,0,4.5973,959,1346,0,0.1789,52,0,0
57,857000940400000002000051000605007010708605204040800706000160000100000005069000187,0.1782,1587,1538,0,2.8099,659,803,0,0.5011,129,89,0
58,307000106040000050006503700100204003003000200070000090008020900900847001030000020,0.1665,1307,1254,0,2.0046,488,596,0,0.4899,124,76,0
59,500010007600000003004000500000804000003000900080070020059706240040203080000109000,0.8772,8073,8018,0,4.7747,980,1475,0,0.2539,73,19,0
60,000401000009000200305000408098060720200000006060030050001050300902000504000309000,0.1903,1620,1566,0,1.9332,453,557,0,0.1832,54,0,0
61,902000070080000003004008900010074000020305010000260030003800600400000090050000708,2.4634,23939,23884,0,14.0343,2890,4288,0,0.8423,217,179,0
62,000080091000001200001000460064510002007000100100023740039000600005200000420070000,6.8019,63848,63795,0,56.4392,11894,16806,0,0.1613,53,0,0
63,000049870000000064000820900300005098005000300910300007004051000690000000032980000,0.3980,3653,3600,0,2.5749,560,741,0,0.1976,57,5,0
